userID,nb.Ratings,mean,sd,max,min,med
1,270,3.6,1.27,5,1,4
2,61,3.7,1.04,5,1,4
3,53,2.77,1.22,5,1,3
4,24,4.33,0.92,5,2,5
5,174,2.87,1.36,5,1,3
6,208,3.64,1.04,5,1,4
7,401,3.96,1.07,5,1,4
8,59,3.8,1.24,5,1,4
9,22,4.27,0.94,5,1,4
10,184,4.21,0.58,5,3,4
11,181,3.46,0.93,5,1,3
12,51,4.39,0.78,5,1,5
13,632,3.1,1.42,5,1,3
14,98,4.09,1.04,5,1,4
15,103,2.87,1.35,5,1,3
16,140,4.33,1.04,5,1,5
17,28,3.04,1.14,5,1,3
18,277,3.88,0.85,5,2,4
19,20,3.55,0.83,5,2,4
20,48,3.1,1.15,5,1,3
21,178,2.67,1.33,5,1,3
22,127,3.37,1.48,5,1,4
23,151,3.64,0.96,5,1,4
24,68,4.32,0.82,5,2,5
25,78,4.05,0.62,5,2,4
26,107,2.94,0.86,5,1,3
27,25,3.24,0.88,5,2,3
28,78,3.72,0.97,5,1,4
29,34,3.65,0.88,5,2,4
30,43,3.77,1,5,1,4
31,36,3.92,0.97,5,2,4
32,40,3.27,0.88,5,1,3
33,23,3.7,0.56,5,3,4
34,20,4.05,1.39,5,1,5
35,23,3.04,0.98,5,1,3
36,20,3.8,1.28,5,1,4
37,57,3.65,0.99,5,1,4
38,121,3.72,1.6,5,1,5
39,22,3.77,0.92,5,2,4
40,35,2.89,0.96,4,1,3
41,52,3.77,0.81,5,2,4
42,183,3.73,1.06,5,1,4
43,221,3.71,1.02,5,1,4
44,151,3.65,1,5,1,4
45,48,3.6,0.92,5,2,4
46,27,4.11,0.93,5,2,4
47,25,3.64,0.91,5,2,4
48,65,3.8,1.05,5,1,4
49,214,2.69,1.26,5,1,3
50,23,3.52,1.41,5,1,4
51,23,3.57,1.2,5,1,4
52,56,4.27,0.73,5,2,4
53,28,3.82,0.9,5,2,4
54,65,3.69,1.14,5,1,4
55,21,3.29,1.49,5,1,3
56,187,3.64,0.94,5,1,4
57,106,3.5,1.03,5,1,3
58,153,3.83,1.23,5,1,4
59,382,3.93,1.06,5,1,4
60,208,4.09,0.63,5,2,4
61,21,2.95,1.24,5,1,3
62,232,3.3,1.11,5,1,3
63,92,3.12,0.99,5,1,3
64,200,3.58,1,5,1,4
65,80,3.94,0.89,5,1,4
66,38,3.47,1.03,5,1,4
67,30,3.77,0.9,5,1,4
68,34,3.03,1.6,5,1,3
69,64,3.83,1.06,5,1,4
70,131,3.47,0.82,5,1,4
71,38,3.79,1.04,5,1,4
72,137,3.82,1.05,5,1,4
73,65,3.74,1.16,5,1,4
74,39,3.64,0.71,5,2,4
75,79,3.28,1.36,5,1,4
76,82,3.56,1.12,5,1,4
77,71,3.59,1.2,5,1,4
78,21,3.38,1.28,5,1,4
79,54,3.98,1.04,5,2,4
80,29,3.76,1.02,5,1,4
81,58,3.29,1.11,5,1,3
82,168,3.07,1.19,5,1,3
83,155,3.42,1.12,5,1,4
84,68,3.85,0.8,5,2,4
85,287,3.54,0.81,5,1,4
86,23,3.52,1.16,5,1,3
87,210,3.8,0.93,5,1,4
88,21,3.95,1.16,5,1,4
89,75,4.03,1.15,5,1,4
90,300,4.22,0.93,5,1,4
91,98,3.89,1.03,5,1,4
92,386,3.24,0.98,5,1,3
93,20,3.35,1.23,5,1,4
94,399,3.66,1.02,5,1,4
95,278,3.42,1.13,5,1,4
96,56,4.27,0.94,5,1,4.5
97,63,4.16,1.14,5,1,5
98,27,3.59,1.31,5,1,3
99,134,3.55,1.1,5,1,4
100,59,3.07,1.05,5,1,3
101,67,2.9,0.87,5,1,3
102,216,2.62,0.74,4,1,3
103,29,3.62,0.94,5,1,4
104,110,2.66,1.16,5,1,3
105,23,3.39,1.08,5,2,3
106,64,3.77,0.71,5,2,4
107,22,3,1.27,5,1,3
108,33,3.58,0.97,5,2,3
109,234,3.44,1.14,5,1,3
110,133,3.05,0.86,5,1,3
111,24,3.54,0.93,5,2,4
112,46,3.7,1.07,5,1,4
113,50,3.72,1.13,5,1,4
114,48,3.6,0.92,5,2,3
115,92,3.93,1.17,5,1,4
116,140,3.01,0.96,5,1,3
117,86,3.92,1.03,5,1,4
118,71,4.66,0.75,5,1,5
119,180,3.96,1.01,5,1,4
120,26,3.58,0.99,5,2,4
121,74,3.61,1.33,5,1,4
122,61,3.98,0.97,5,1,4
123,54,3.85,1.11,5,1,4
124,24,3.5,1.02,5,1,3.5
125,182,3.44,1.3,5,1,3
126,45,3.53,1.18,5,1,4
127,23,4.13,1.52,5,1,5
128,184,3.66,1.02,5,1,4
129,30,2.6,1.16,5,1,2
130,350,3.98,0.98,5,1,4
131,30,4.13,1.04,5,1,4
132,22,3.77,0.69,5,3,4
133,26,3.19,1.1,5,1,3
134,25,3.64,1.08,5,2,4
135,55,3.38,0.78,5,1,4
136,35,4.34,0.73,5,2,4
137,46,4.3,1.11,5,1,5
138,51,4.27,0.67,5,2,4
139,22,3.95,0.84,5,2,4
140,21,3.43,0.81,5,2,3
141,107,3.43,1.34,5,1,4
142,33,3.64,1.19,5,1,4
143,20,3.9,1.02,5,2,4
144,204,3.67,0.95,5,1,4
145,313,3.33,1.31,5,1,3
146,29,3.62,1.21,5,1,4
147,20,4.2,0.83,5,2,4
148,65,4,1.27,5,1,4
149,36,2.89,1.12,5,1,3
150,31,3.81,1.01,5,1,4
151,307,4,1.04,5,1,4
152,106,4.32,0.99,5,1,5
153,23,2.96,1.49,5,1,3
154,51,3.96,0.89,5,2,4
155,22,2.64,0.85,5,2,2
156,37,3.73,0.8,5,2,4
157,51,3.78,1.24,5,1,4
158,173,3.8,1,5,1,4
159,106,3.44,1.34,5,1,4
160,120,3.92,1.01,5,1,4
161,58,2.55,1.13,5,1,2
162,42,3.6,0.73,5,2,4
163,23,3.3,0.88,5,1,3
164,63,4.13,0.96,5,2,4
165,29,4.03,0.87,5,2,4
166,20,3.55,1.43,5,1,4
167,69,3.38,1.46,5,1,4
168,69,3.33,1.4,5,1,4
169,37,3.97,0.99,5,1,4
170,21,3.81,0.93,5,3,3
171,28,3.46,0.74,5,2,4
172,27,3.19,0.88,5,1,3
173,43,4.21,0.83,5,1,4
174,176,3.57,1.58,5,1,4
175,38,3.74,1.13,5,1,4
176,60,3.7,1.05,5,1,4
177,115,3.62,0.99,5,1,4
178,270,3.69,0.95,5,1,4
179,42,3.05,1.59,5,1,3
180,63,3.94,1.31,5,1,4
181,433,1.49,0.85,5,1,1
182,28,3.86,0.93,5,2,4
183,53,3.19,1,5,1,3
184,251,3.66,0.83,5,1,4
185,48,4.04,0.71,5,1,4
186,92,3.41,1.22,5,1,4
187,56,4.07,0.91,5,1,4
188,112,3.77,0.98,5,1,4
189,186,3.98,1.08,5,1,4
190,59,3.32,0.99,5,1,3
191,27,3.63,0.79,5,2,4
192,35,3.51,1.09,5,1,4
193,120,3.17,1.12,5,1,3
194,305,2.96,1.02,5,1,3
195,95,3.28,1.03,5,1,3
196,39,3.62,1.02,5,1,4
197,118,3.34,1.23,5,1,3
198,181,3.28,0.97,5,1,3
199,40,2.95,1.57,5,1,3
200,216,4.03,0.86,5,2,4
201,386,3.03,1.05,5,1,3
202,20,2.8,1.28,5,1,3
203,43,3.42,1.05,5,1,3
204,41,3.41,1.34,5,1,4
205,22,2.86,1.04,4,1,3
206,64,2.17,1.46,5,1,1
207,230,3.23,0.83,5,1,3
208,33,3.79,1.02,5,1,4
209,33,3.18,1.24,5,1,3
210,132,4.06,0.82,5,2,4
211,37,3.19,1.13,5,1,3
212,24,3.88,1.3,5,1,4
213,126,4.23,0.87,5,1,4
214,127,3.91,0.82,5,2,4
215,93,3.77,0.89,5,2,4
216,131,3.8,1,5,1,4
217,76,2.96,1.38,5,1,3
218,53,3.6,0.82,5,2,4
219,28,3.71,1.58,5,1,4
220,22,3.77,0.92,5,1,4
221,145,3.61,0.89,5,1,4
222,386,3.05,1.19,5,1,3
223,105,3.03,1.3,5,1,3
224,141,2.99,1.1,5,1,3
225,27,4.52,0.85,5,2,5
226,50,3.8,0.93,5,1,4
227,58,3.45,1.06,5,1,4
228,21,3.14,1.49,5,1,3
229,30,2.73,1.46,5,1,3
230,132,3.85,1.14,5,1,4
231,21,3.67,0.91,5,1,4
232,92,3.9,0.9,5,1,4
233,110,4.35,0.79,5,2,5
234,478,3.13,0.92,5,1,3
235,94,3.98,0.83,5,1,4
236,124,3.48,1.17,5,1,4
237,48,4.15,0.68,5,2,4
238,29,3.28,0.84,5,1,3
239,159,4.21,1.25,5,1,5
240,24,3.75,1.33,5,1,4
241,23,3.43,1.04,5,2,3
242,20,4.45,0.76,5,3,5
243,80,3.64,0.83,5,1,4
244,237,3.65,1.07,5,1,4
245,22,3.27,1.12,5,1,3.5
246,195,2.93,1.32,5,1,3
247,26,3.92,0.89,5,2,4
248,56,3.57,1.19,5,1,4
249,161,4.11,0.86,5,1,4
250,122,3.79,1.06,5,1,4
251,77,3.79,0.92,5,2,4
252,21,4.43,0.68,5,3,5
253,97,3.98,0.96,5,1,4
254,159,3.05,1.04,5,1,3
255,83,2.54,1.32,5,1,2
256,207,3.99,0.95,5,1,4
257,57,4.04,0.96,5,2,4
258,23,3.74,1.39,5,1,4
259,46,3.87,0.78,5,2,4
260,24,4.04,1.12,5,1,4
261,27,4.11,0.89,5,2,4
262,160,3.17,0.83,5,1,3
263,123,4.05,1,5,1,4
264,120,4.22,1.01,5,1,5
265,46,3.57,1.13,5,1,4
266,23,3.26,1.1,5,1,3
267,185,3.94,0.89,5,1,4
268,326,2.94,1.09,5,1,3
269,322,3,1.4,5,1,3
270,138,4.33,0.99,5,1,5
271,278,3.58,1,5,1,4
272,51,4.33,0.89,5,1,5
273,22,3.64,0.73,5,2,4
274,71,4.06,0.98,5,1,4
275,95,3.12,0.6,4,2,3
276,516,3.47,1.02,5,1,4
277,54,3.5,0.84,5,1,4
278,23,4.26,0.92,5,2,5
279,434,3.27,1.2,5,1,3
280,258,3.58,1,5,1,3.5
281,26,3.19,1.23,5,1,3
282,22,3.5,1.01,5,1,4
283,53,4.13,0.83,5,2,4
284,47,3.55,0.8,5,2,3
285,32,3.94,0.84,5,2,4
286,287,3.71,1.16,5,1,4
287,61,4.11,1.03,5,1,4
288,75,3.88,1.21,5,1,4
289,27,2.93,1.07,5,1,3
290,150,3.35,0.91,5,1,3
291,295,3.68,1.03,5,1,4
292,124,4.23,0.8,5,2,4
293,387,3.03,1.04,5,1,3
294,148,3.47,0.96,5,1,3
295,196,4.24,0.79,5,1,4
296,145,4.18,1.19,5,1,5
297,191,3.44,1.07,5,1,3
298,127,4.03,0.82,5,2,4
299,279,3.47,0.91,5,1,4
300,19,3.68,1,5,1,4
301,275,3.53,0.97,5,1,4
302,20,2.45,0.89,4,1,2
303,483,3.36,1.23,5,1,4
304,26,3.38,1.06,5,1,3
305,220,3.41,1.08,5,1,3
306,32,3.78,1.01,5,1,4
307,112,3.79,1.03,5,1,4
308,397,3.76,0.77,5,1,4
309,20,3.5,1.05,5,2,3.5
310,21,3.86,1.42,5,1,4
311,293,3.8,0.87,5,1,4
312,223,4.38,0.92,5,1,5
313,262,3.6,1,5,1,4
314,244,3.67,1.15,5,1,4
315,87,4.01,0.93,5,1,4
316,75,3.36,1.44,5,1,4
317,22,3.55,0.86,5,2,4
318,173,3.72,1.03,5,1,4
319,22,3.45,0.8,5,2,3
320,154,3.72,0.84,5,1,4
321,125,3.74,0.74,5,2,4
322,51,4.18,0.84,5,2,4
323,88,3.61,0.96,5,1,4
324,66,4.35,0.81,5,1,5
325,141,3.42,1.12,5,1,3
326,187,3.33,1.21,5,1,3
327,282,3.3,0.92,5,1,4
328,283,3.43,0.91,5,1,3
329,64,3.39,0.83,5,2,3
330,147,4.5,0.73,5,2,5
331,70,3.64,1.06,5,1,4
332,183,4.15,0.91,5,2,4
333,26,3.85,0.97,5,1,4
334,329,3.52,0.91,5,1,4
335,22,3.55,1.22,5,1,4
336,130,2.96,1.28,5,1,3
337,34,3.94,1.13,5,1,4
338,75,4,0.94,5,1,4
339,254,4,0.92,5,1,4
340,44,4.16,1.18,5,1,5
341,20,3.75,1.12,5,1,4
342,201,3.44,1.29,5,1,3
343,236,3.98,1.09,5,1,4
344,188,3.66,1.03,5,1,4
345,230,3.64,0.92,5,1,4
346,193,3.29,1.15,5,1,3
347,198,3.57,1.32,5,1,4
348,58,3.9,0.69,5,2,4
349,41,3.2,1.1,5,1,3
350,50,4.32,0.82,5,2,4.5
351,44,4.16,0.94,5,1,4
352,42,3.74,1.19,5,1,4
353,25,3.36,1.35,5,1,4
354,230,3.73,0.87,5,1,4
355,26,4.08,0.48,5,3,4
356,24,3.58,1.14,5,1,4
357,76,4.13,0.9,5,2,4
358,43,3.7,1.21,5,1,4
359,26,3.92,0.8,5,3,4
360,101,3.96,0.86,5,2,4
361,121,3.78,0.96,5,1,4
362,25,3.36,1.52,5,1,4
363,311,3.05,1.28,5,1,3
364,20,3.45,1.1,5,1,4
365,58,3.38,1.18,5,1,4
366,33,4.39,1.09,5,1,5
367,57,4.16,0.75,5,2,4
368,44,3.3,1.11,5,1,3
369,22,4,1.02,5,2,4
370,75,3.69,0.94,5,1,4
371,51,4.1,0.94,5,1,4
372,66,4.3,0.7,5,2,4
373,233,3.73,0.95,5,1,4
374,274,3.31,1.3,5,1,3
375,28,3.68,0.86,5,2,4
376,29,3.76,0.69,5,3,4
377,33,3.91,0.95,5,2,4
378,374,3.42,0.8,5,1,3
379,196,3.99,0.94,5,1,4
380,161,3.21,0.9,5,1,3
381,127,3.81,1.11,5,1,4
382,53,3.47,1.05,5,1,3
383,71,4.38,0.85,5,2,5
384,22,4.14,0.56,5,3,4
385,279,3.29,1.22,5,1,3
386,23,3.65,0.83,5,2,4
387,303,3.36,1.21,5,1,3
388,51,4.16,0.86,5,2,4
389,271,3.7,1.03,5,1,4
390,31,3.84,1.19,5,1,4
391,121,3.77,1.01,5,1,4
392,109,4.04,1.13,5,1,4
393,447,3.34,0.82,5,1,3
394,149,3.86,0.94,5,1,4
395,57,3.89,1.1,5,1,4
396,54,3.41,0.79,5,2,3
397,102,3.71,1.33,5,1,4
398,172,3.71,0.94,5,2,4
399,318,2.94,0.8,5,1,3
400,22,3.59,0.8,5,2,4
401,153,3.12,1.11,5,1,3
402,68,3.9,0.99,5,1,4
403,50,3.68,1.24,5,1,4
404,44,3.25,1.1,5,1,3
405,736,1.83,1.35,5,1,1
406,341,3.53,1.07,5,1,4
407,226,3.47,0.86,5,1,4
408,27,3.74,1.1,5,1,4
409,202,3.6,1.15,5,1,4
410,28,3.04,1.04,5,1,3
411,58,3.78,0.77,5,2,4
412,51,3.94,0.73,5,2,4
413,49,3.63,0.99,5,1,4
414,25,3.88,1.13,5,1,4
415,24,4.17,1.05,5,1,4
416,487,3.85,1.1,5,1,4
417,364,3.24,0.94,5,1,3
418,20,2.9,1.52,5,1,2.5
419,32,4.22,0.91,5,1,4
420,36,4.17,0.85,5,3,4
421,62,3.85,1.04,5,1,4
422,96,3.46,0.93,5,1,3.5
423,63,3.59,0.93,5,1,4
424,44,3.36,1.33,5,1,3.5
425,203,2.96,1.1,5,1,3
426,101,3.83,0.81,5,1,4
427,31,4.55,0.77,5,2,5
428,55,3.93,0.81,5,1,4
429,414,3.39,0.91,5,1,3
430,64,3.55,0.99,5,1,4
431,21,3.38,0.74,5,2,3
432,62,3.71,1.08,5,1,4
433,40,3.5,1.34,5,1,3
434,44,3.7,1.42,5,1,4
435,378,3.31,1.06,5,1,3
436,145,3.75,0.9,5,1,4
437,263,3.58,1.16,5,1,4
438,33,4.06,0.93,5,2,4
439,30,3.7,0.88,5,2,4
440,51,4.18,1.18,5,1,5
441,20,3.5,0.76,5,2,4
442,143,3.13,0.92,5,1,3
443,24,3.38,1.5,5,1,3.5
444,24,3.79,1.1,5,1,4
445,134,1.99,1.1,5,1,2
446,36,2.75,0.91,5,1,3
447,139,3.6,0.98,5,1,4
448,38,3.34,1.42,5,1,4
449,75,3.75,1.15,5,1,4
450,538,3.86,0.86,5,1,4
451,96,2.73,1.37,5,1,3
452,206,3.41,1.24,5,1,4
453,155,3.28,1.06,5,1,3
454,236,2.98,0.93,5,1,3
455,189,3.5,0.75,5,1,4
456,217,3.46,0.84,5,1,4
457,276,4.03,0.95,5,1,4
458,183,3.69,1.11,5,1,4
459,118,3.38,1.05,5,1,3
460,67,3.42,0.89,5,2,3
461,23,3,1.13,5,1,3
462,33,4,1.32,5,1,5
463,132,2.86,1.29,5,1,3
464,53,4.04,0.88,5,2,4
465,80,3.44,0.81,5,1,3
466,101,3.47,1.13,5,1,3
467,43,3.65,0.97,5,2,4
468,143,3.99,0.9,5,2,4
469,43,4.53,0.55,5,3,5
470,56,3.61,0.78,5,2,4
471,31,3.39,1.52,5,1,4
472,263,4.23,0.92,5,1,4
473,34,3.88,0.91,5,2,4
